Product,Category,Date,Price,Discount,Current_Stock,Lead_Time,Season,Demand
Laptop,Electronics,2025-12-25,41705,15,93,5,Monsoon,76
External Hard Drive,Storage,2025-11-09,8094,15,141,10,Monsoon,90
Printer,Electronics,2025-08-22,12582,15,255,6,Summer,89
Headphones,Accessories,2025-08-17,4297,20,460,2,Winter,167
Keyboard,Accessories,2025-01-25,877,20,202,3,Monsoon,163
Laptop,Electronics,2025-07-17,45642,5,214,1,Monsoon,63
Printer,Electronics,2026-02-13,13028,10,105,7,Summer,79
Keyboard,Accessories,2025-12-03,2704,20,127,4,Winter,118
Keyboard,Accessories,2025-10-13,1904,15,384,7,Summer,132
Gaming Keyboard,Gaming,2025-03-13,5636,15,441,1,Summer,111
Printer,Electronics,2025-10-13,8058,10,388,5,Summer,104
Printer,Electronics,2025-12-26,13131,20,465,9,Summer,104
Printer,Electronics,2026-06-06,19128,0,362,10,Winter,65
External Hard Drive,Storage,2026-02-14,8770,0,313,7,Winter,98
Printer,Electronics,2026-07-04,17491,5,233,2,Monsoon,40
Laptop,Electronics,2025-12-06,66328,20,385,5,Monsoon,82
External Hard Drive,Storage,2025-01-29,3214,20,422,9,Summer,152
Monitor,Electronics,2025-04-29,12517,15,43,9,Monsoon,99
Gaming Keyboard,Gaming,2025-09-25,7292,0,143,9,Monsoon,85
Laptop,Electronics,2025-07-02,46699,15,334,10,Winter,84
Printer,Electronics,2026-08-18,8102,20,54,7,Monsoon,84
External Hard Drive,Storage,2025-09-29,5006,0,182,2,Summer,113
Wireless Mouse,Accessories,2025-02-09,790,20,40,8,Winter,184
External Hard Drive,Storage,2025-04-22,6947,10,61,3,Winter,115
Headphones,Accessories,2026-09-03,3143,5,451,1,Summer,130
External Hard Drive,Storage,2026-03-21,8765,10,178,8,Winter,103
External Hard Drive,Storage,2025-12-20,3831,0,350,1,Monsoon,105
Printer,Electronics,2025-11-18,12820,10,118,5,Summer,76
Smartphone,Electronics,2026-03-23,32130,5,40,10,Summer,75
Gaming Keyboard,Gaming,2026-09-13,3942,5,360,5,Summer,106
Printer,Electronics,2026-06-08,13654,15,61,8,Winter,77
Headphones,Accessories,2025-04-29,4692,10,160,3,Monsoon,124
Headphones,Accessories,2026-01-30,1333,10,74,7,Summer,139
Monitor,Electronics,2026-08-14,10337,20,459,10,Winter,127
Wireless Mouse,Accessories,2025-07-14,1222,5,172,5,Monsoon,130
Laptop,Electronics,2025-09-18,60531,10,404,8,Monsoon,65
Printer,Electronics,2025-02-15,8170,0,410,9,Monsoon,79
External Hard Drive,Storage,2026-03-23,8265,10,339,5,Monsoon,101
Headphones,Accessories,2025-01-02,2230,0,331,2,Summer,123
Smartphone,Electronics,2026-06-17,23055,20,246,2,Winter,113
Wireless Mouse,Accessories,2026-07-06,1435,0,425,5,Monsoon,127
Gaming Keyboard,Gaming,2025-07-21,7885,5,237,4,Winter,106
Smartphone,Electronics,2026-01-08,11413,5,301,10,Monsoon,109
Keyboard,Accessories,2026-03-18,2176,15,31,4,Winter,121
Gaming Keyboard,Gaming,2025-03-13,7369,10,215,5,Winter,89
Laptop,Electronics,2025-12-05,72459,10,152,1,Winter,50
Smartphone,Electronics,2025-11-18,49941,10,326,6,Monsoon,98
Gaming Keyboard,Gaming,2025-05-08,6961,5,492,2,Summer,84
Printer,Electronics,2025-11-04,17127,0,235,8,Winter,66
Smartphone,Electronics,2026-06-04,45814,20,433,3,Winter,120
Laptop,Electronics,2025-11-13,79434,0,146,4,Summer,50
Headphones,Accessories,2026-02-23,2350,5,257,4,Summer,149
Gaming Keyboard,Gaming,2025-12-01,5295,15,434,1,Monsoon,95
External Hard Drive,Storage,2026-02-17,3227,0,369,5,Monsoon,64
Gaming Keyboard,Gaming,2025-10-30,5081,5,201,3,Summer,82
Monitor,Electronics,2026-07-22,19891,15,227,1,Monsoon,76
Printer,Electronics,2025-05-11,6229,20,264,8,Winter,106
Monitor,Electronics,2025-07-16,12872,15,88,10,Monsoon,93
External Hard Drive,Storage,2026-03-07,5610,10,199,1,Winter,137
Monitor,Electronics,2026-01-24,9290,20,390,5,Monsoon,124
Gaming Keyboard,Gaming,2025-06-28,3860,10,326,4,Monsoon,126
External Hard Drive,Storage,2026-08-06,9952,15,294,9,Summer,132
Laptop,Electronics,2025-11-05,73290,5,127,6,Monsoon,43
Gaming Keyboard,Gaming,2026-02-20,3530,15,383,5,Monsoon,122
Monitor,Electronics,2026-07-16,23821,0,165,3,Monsoon,56
Monitor,Electronics,2025-01-01,17286,15,458,2,Monsoon,76
Monitor,Electronics,2025-11-08,21312,15,226,5,Summer,85
Wireless Mouse,Accessories,2025-10-21,954,5,373,2,Monsoon,136
Wireless Mouse,Accessories,2025-08-04,408,15,221,2,Summer,160
Monitor,Electronics,2026-03-17,12659,15,349,5,Winter,118
Printer,Electronics,2026-08-17,12049,20,458,3,Monsoon,103
Headphones,Accessories,2026-09-14,3212,10,40,3,Summer,124
Gaming Keyboard,Gaming,2025-11-26,2777,10,156,4,Summer,113
Gaming Keyboard,Gaming,2026-04-22,3852,0,139,6,Winter,120
Keyboard,Accessories,2026-03-29,2436,0,329,10,Monsoon,92
Printer,Electronics,2026-03-29,17800,0,56,4,Summer,64
Keyboard,Accessories,2025-08-07,2856,15,45,5,Winter,130
Monitor,Electronics,2026-06-08,11577,15,302,3,Summer,124
Gaming Keyboard,Gaming,2026-04-30,3961,20,179,4,Winter,146
Smartphone,Electronics,2025-06-23,45301,10,76,10,Winter,98
Laptop,Electronics,2025-03-28,45003,15,90,5,Monsoon,89
Monitor,Electronics,2025-10-18,16988,10,84,6,Winter,84
External Hard Drive,Storage,2026-06-12,5300,10,105,7,Winter,127
Wireless Mouse,Accessories,2025-12-10,599,5,415,1,Winter,175
Keyboard,Accessories,2025-04-06,1760,20,36,10,Monsoon,152
External Hard Drive,Storage,2025-08-29,5112,0,417,9,Winter,113
Printer,Electronics,2025-11-14,5259,10,351,5,Summer,103
Wireless Mouse,Accessories,2025-08-19,502,20,249,6,Summer,187
Monitor,Electronics,2025-07-23,23945,5,46,3,Summer,74
Printer,Electronics,2025-05-31,8847,0,164,10,Winter,66
Laptop,Electronics,2025-01-26,63930,10,130,7,Summer,68
Wireless Mouse,Accessories,2025-02-17,1217,0,362,4,Summer,105
External Hard Drive,Storage,2025-09-08,8816,5,142,5,Summer,100
External Hard Drive,Storage,2026-05-02,9300,10,263,9,Winter,86
Printer,Electronics,2025-03-16,7666,10,209,7,Winter,93
External Hard Drive,Storage,2026-04-12,9990,10,230,9,Monsoon,99
Monitor,Electronics,2026-03-01,23334,5,485,4,Monsoon,61
External Hard Drive,Storage,2026-08-13,7231,20,309,9,Summer,115
Headphones,Accessories,2025-07-19,3356,15,170,6,Monsoon,148
Monitor,Electronics,2026-01-29,18191,20,322,8,Winter,107
Smartphone,Electronics,2026-05-22,47754,5,34,1,Monsoon,70
Keyboard,Accessories,2026-02-14,1059,15,447,3,Monsoon,131
Monitor,Electronics,2025-09-07,13572,0,196,10,Monsoon,58
Headphones,Accessories,2025-06-01,2955,15,130,5,Monsoon,161
Laptop,Electronics,2025-01-06,74538,15,464,7,Summer,54
Gaming Keyboard,Gaming,2025-04-20,7758,5,75,1,Monsoon,94
Keyboard,Accessories,2026-03-12,2287,5,430,5,Monsoon,98
Printer,Electronics,2025-08-13,17807,10,299,3,Summer,78
External Hard Drive,Storage,2025-06-30,5954,0,115,10,Summer,93
Laptop,Electronics,2026-06-15,54011,10,395,4,Monsoon,66
Headphones,Accessories,2026-04-21,3120,15,280,4,Monsoon,122
Smartphone,Electronics,2025-02-21,16442,15,76,7,Monsoon,126
Printer,Electronics,2026-07-25,13381,5,387,4,Winter,80
Printer,Electronics,2025-09-13,6694,20,390,8,Summer,119
Laptop,Electronics,2025-05-05,57016,20,411,2,Summer,113
External Hard Drive,Storage,2026-04-13,9897,0,411,7,Winter,97
External Hard Drive,Storage,2025-05-17,6946,5,330,8,Winter,102
Headphones,Accessories,2026-04-21,2362,10,91,10,Summer,150
Keyboard,Accessories,2026-06-28,1698,5,332,6,Monsoon,105
External Hard Drive,Storage,2026-07-27,8946,20,179,2,Monsoon,101
Keyboard,Accessories,2026-09-02,1019,15,76,3,Winter,127
Monitor,Electronics,2025-11-21,18418,10,181,7,Monsoon,95
Printer,Electronics,2026-03-30,9660,10,178,4,Winter,98
Smartphone,Electronics,2026-06-01,40128,5,485,2,Monsoon,69
Keyboard,Accessories,2026-03-13,2300,15,63,1,Winter,127
Printer,Electronics,2026-07-16,18803,15,224,4,Winter,98
External Hard Drive,Storage,2026-04-02,5809,0,172,7,Monsoon,86
External Hard Drive,Storage,2025-06-12,5270,5,86,10,Summer,116
Smartphone,Electronics,2026-05-02,15920,10,500,2,Monsoon,98
Keyboard,Accessories,2026-04-06,2293,0,228,1,Monsoon,93
Printer,Electronics,2025-09-23,17264,15,247,10,Summer,71
Printer,Electronics,2025-09-11,7525,5,271,7,Monsoon,65
Gaming Keyboard,Gaming,2025-10-11,2663,20,144,3,Summer,138
Headphones,Accessories,2026-06-18,4558,10,152,5,Monsoon,122
Monitor,Electronics,2026-05-12,24078,10,325,5,Summer,84
Monitor,Electronics,2025-09-02,22323,10,107,5,Summer,93
Smartphone,Electronics,2025-10-09,33473,10,163,4,Monsoon,99
Wireless Mouse,Accessories,2026-03-27,327,0,370,5,Monsoon,123
Keyboard,Accessories,2025-03-21,2204,15,415,8,Summer,126
Wireless Mouse,Accessories,2025-10-20,1111,5,337,9,Winter,142
Monitor,Electronics,2025-08-29,24545,5,372,7,Summer,79
Wireless Mouse,Accessories,2025-10-06,727,5,194,5,Summer,133
Laptop,Electronics,2025-12-10,51109,5,189,10,Summer,62
Printer,Electronics,2025-11-24,7606,10,246,5,Monsoon,79
Keyboard,Accessories,2026-07-08,2807,20,450,9,Monsoon,114
Gaming Keyboard,Gaming,2025-03-24,5679,20,432,10,Winter,114
Gaming Keyboard,Gaming,2025-05-22,6599,5,124,10,Summer,98
Laptop,Electronics,2025-06-04,67983,20,497,9,Summer,82
Gaming Keyboard,Gaming,2025-08-25,3757,20,450,4,Winter,143
Gaming Keyboard,Gaming,2026-01-28,4745,0,209,6,Summer,112
Smartphone,Electronics,2025-06-06,20890,0,387,8,Winter,80
Monitor,Electronics,2025-08-08,23416,10,420,9,Monsoon,67
Smartphone,Electronics,2025-03-07,11782,5,318,10,Monsoon,86
Monitor,Electronics,2026-03-01,9083,15,453,2,Monsoon,103
Keyboard,Accessories,2026-02-22,2135,0,220,4,Monsoon,77
External Hard Drive,Storage,2025-12-05,5691,5,478,4,Monsoon,92
Laptop,Electronics,2026-07-10,68908,10,260,3,Monsoon,57
Laptop,Electronics,2026-04-23,77497,0,281,8,Monsoon,40
Headphones,Accessories,2026-03-02,2937,0,195,1,Winter,125
Monitor,Electronics,2025-03-05,10697,20,151,10,Summer,112
Headphones,Accessories,2025-07-31,1835,5,387,6,Winter,155
Keyboard,Accessories,2026-03-07,2174,5,68,10,Winter,109
Gaming Keyboard,Gaming,2026-02-03,7517,5,481,4,Winter,88
Wireless Mouse,Accessories,2026-08-22,1060,0,95,5,Monsoon,128
Printer,Electronics,2025-01-21,17752,5,161,1,Winter,60
External Hard Drive,Storage,2026-08-13,5490,15,490,5,Monsoon,128
Laptop,Electronics,2026-01-25,54877,20,492,1,Winter,97
Printer,Electronics,2026-05-04,13693,15,389,6,Winter,90
Laptop,Electronics,2025-01-07,66556,15,248,4,Monsoon,67
Smartphone,Electronics,2025-12-27,19704,20,311,6,Summer,123
Printer,Electronics,2025-11-02,15943,15,362,8,Summer,93
Wireless Mouse,Accessories,2026-02-04,1158,0,345,4,Winter,143
Monitor,Electronics,2026-03-06,16912,20,224,7,Monsoon,98
Printer,Electronics,2026-07-06,13626,20,242,7,Summer,103
External Hard Drive,Storage,2026-07-14,8927,10,284,1,Monsoon,99
External Hard Drive,Storage,2026-09-10,4622,20,162,2,Winter,148
Printer,Electronics,2025-08-14,13086,0,296,5,Summer,37
Monitor,Electronics,2026-05-15,14282,20,393,4,Summer,96
Monitor,Electronics,2025-08-13,19415,10,63,7,Winter,98
Smartphone,Electronics,2025-10-07,44898,0,385,9,Monsoon,50
Headphones,Accessories,2026-03-23,3976,5,100,7,Winter,109
Smartphone,Electronics,2026-05-13,44282,10,486,8,Summer,81
Smartphone,Electronics,2025-01-30,41795,15,255,1,Monsoon,97
Headphones,Accessories,2026-02-03,4499,20,110,7,Summer,145
Headphones,Accessories,2025-12-11,4054,20,201,10,Monsoon,150
Printer,Electronics,2026-02-19,18640,5,116,4,Summer,75
Headphones,Accessories,2025-06-19,4380,20,452,7,Summer,157
External Hard Drive,Storage,2026-04-24,8782,0,54,6,Summer,88
Keyboard,Accessories,2025-05-11,2426,0,223,10,Winter,96
Smartphone,Electronics,2026-07-01,36269,0,249,8,Monsoon,70
Printer,Electronics,2025-01-28,7079,0,88,2,Winter,59
Laptop,Electronics,2026-02-08,60446,15,96,4,Summer,69
Smartphone,Electronics,2026-08-30,41705,20,452,10,Monsoon,117
Gaming Keyboard,Gaming,2026-08-01,2301,20,81,1,Winter,157
Monitor,Electronics,2025-01-28,12063,5,418,4,Summer,98
Laptop,Electronics,2025-03-27,42256,15,208,7,Summer,64
Smartphone,Electronics,2026-03-15,35764,15,120,3,Summer,119
Keyboard,Accessories,2025-05-19,899,0,338,4,Summer,129
Monitor,Electronics,2026-04-18,23118,5,366,9,Summer,79
Gaming Keyboard,Gaming,2025-07-06,2810,15,431,9,Summer,143
Laptop,Electronics,2025-02-21,76623,20,225,1,Monsoon,91
Monitor,Electronics,2025-09-24,16835,0,232,7,Monsoon,67
Wireless Mouse,Accessories,2026-01-24,829,15,260,4,Winter,176
Monitor,Electronics,2025-12-02,14472,5,257,9,Winter,80
Keyboard,Accessories,2025-08-05,875,15,465,10,Winter,135
Wireless Mouse,Accessories,2026-04-11,1136,0,283,9,Monsoon,105
Smartphone,Electronics,2025-12-01,41819,0,372,4,Winter,73
Smartphone,Electronics,2025-12-12,29818,10,373,10,Winter,105
Monitor,Electronics,2026-01-24,9744,0,419,9,Summer,81
Smartphone,Electronics,2025-10-12,19088,5,449,2,Winter,102
Keyboard,Accessories,2026-03-08,1002,5,433,8,Summer,109
Wireless Mouse,Accessories,2025-09-16,373,15,336,4,Summer,169
Gaming Keyboard,Gaming,2025-03-25,3335,20,388,5,Summer,130
Monitor,Electronics,2026-04-27,20437,15,465,2,Winter,118
External Hard Drive,Storage,2025-01-20,9954,20,270,2,Summer,119
Smartphone,Electronics,2026-07-07,23307,0,49,9,Monsoon,82
Printer,Electronics,2025-02-23,18017,0,87,3,Winter,65
Laptop,Electronics,2025-12-25,70530,10,55,6,Monsoon,43
Printer,Electronics,2025-08-18,18776,20,473,3,Summer,88
Headphones,Accessories,2025-03-12,3775,0,341,5,Monsoon,116
Smartphone,Electronics,2025-02-11,46941,15,305,9,Winter,117
Keyboard,Accessories,2025-02-01,2612,15,133,1,Winter,123
Printer,Electronics,2025-09-11,18953,0,433,8,Winter,63
Monitor,Electronics,2025-07-24,24810,20,469,6,Summer,111
Printer,Electronics,2025-01-21,14294,10,411,7,Summer,65
Laptop,Electronics,2025-06-06,69833,10,470,10,Summer,63
Smartphone,Electronics,2025-09-02,39625,5,220,8,Winter,87
Printer,Electronics,2025-05-10,10244,0,37,1,Winter,68
External Hard Drive,Storage,2026-04-30,9394,15,85,8,Monsoon,112
Smartphone,Electronics,2025-04-28,12564,5,59,10,Winter,123
Laptop,Electronics,2026-08-01,60222,10,441,2,Monsoon,66
Headphones,Accessories,2025-08-12,4394,5,137,10,Monsoon,97
Smartphone,Electronics,2026-04-22,16440,0,469,8,Monsoon,76
Gaming Keyboard,Gaming,2025-09-20,3107,0,131,9,Summer,99
Monitor,Electronics,2026-01-13,8671,10,289,5,Summer,113
Printer,Electronics,2025-06-21,9509,20,365,8,Summer,103
Monitor,Electronics,2026-09-13,19889,15,313,2,Summer,85
External Hard Drive,Storage,2026-09-14,7572,10,453,6,Monsoon,109
External Hard Drive,Storage,2025-04-28,9993,5,249,2,Summer,90
Smartphone,Electronics,2025-06-17,39050,10,192,10,Winter,85
Printer,Electronics,2025-11-15,16596,20,490,7,Summer,83
Smartphone,Electronics,2025-04-21,12388,5,203,7,Monsoon,107
Headphones,Accessories,2026-08-16,1905,10,128,6,Winter,156
Wireless Mouse,Accessories,2025-01-27,1102,0,331,2,Winter,115
Gaming Keyboard,Gaming,2025-11-16,4605,10,39,3,Winter,108
Wireless Mouse,Accessories,2026-08-13,1413,5,356,10,Monsoon,136
Wireless Mouse,Accessories,2026-01-20,680,0,153,1,Monsoon,136
Headphones,Accessories,2026-02-11,1920,5,402,1,Winter,143
Gaming Keyboard,Gaming,2025-07-23,6098,0,338,3,Monsoon,94
Laptop,Electronics,2025-03-19,68903,15,85,6,Summer,64
Wireless Mouse,Accessories,2026-08-30,763,20,70,9,Monsoon,176
Gaming Keyboard,Gaming,2025-09-06,7758,20,346,8,Summer,120
Wireless Mouse,Accessories,2025-04-15,577,15,136,10,Summer,164
Headphones,Accessories,2025-11-05,1874,15,448,10,Monsoon,137
Keyboard,Accessories,2026-09-07,2373,0,369,2,Winter,101
External Hard Drive,Storage,2025-05-04,4850,15,298,5,Summer,113
Smartphone,Electronics,2026-08-03,12303,0,273,5,Summer,81
Headphones,Accessories,2025-02-12,3732,5,112,7,Winter,113
External Hard Drive,Storage,2025-12-22,3492,20,250,10,Summer,140
External Hard Drive,Storage,2026-06-30,5206,20,417,2,Winter,141
Headphones,Accessories,2026-03-15,3496,20,147,4,Monsoon,132
Keyboard,Accessories,2026-01-15,1709,20,186,1,Winter,148
Wireless Mouse,Accessories,2025-03-12,1368,5,77,7,Winter,152
Printer,Electronics,2026-06-03,11420,20,406,7,Winter,118
External Hard Drive,Storage,2025-12-16,7570,15,34,4,Winter,114
Keyboard,Accessories,2025-01-13,1862,20,325,3,Summer,156
Keyboard,Accessories,2026-03-07,1009,20,359,1,Monsoon,136
Gaming Keyboard,Gaming,2026-05-17,7886,5,493,3,Summer,98
Smartphone,Electronics,2025-04-19,32237,5,129,1,Summer,82
Gaming Keyboard,Gaming,2026-03-20,2222,15,127,6,Monsoon,107
Laptop,Electronics,2026-01-06,67944,15,465,3,Winter,73
Laptop,Electronics,2026-04-16,53112,20,357,7,Winter,90
Monitor,Electronics,2025-06-06,13058,20,349,2,Winter,120
Printer,Electronics,2026-03-22,18796,5,390,5,Monsoon,57
Gaming Keyboard,Gaming,2025-06-30,4420,15,38,3,Winter,134
Gaming Keyboard,Gaming,2026-06-19,3176,15,305,10,Winter,132
Headphones,Accessories,2025-10-04,3329,5,93,1,Winter,120
Gaming Keyboard,Gaming,2026-07-06,7852,10,64,6,Monsoon,110
Wireless Mouse,Accessories,2026-05-11,657,0,344,3,Winter,138
Wireless Mouse,Accessories,2026-04-22,946,5,295,9,Summer,128
Wireless Mouse,Accessories,2026-03-23,696,15,279,8,Winter,176
Keyboard,Accessories,2026-08-30,2505,0,199,10,Monsoon,69
Printer,Electronics,2025-10-02,15960,20,375,5,Monsoon,108
Printer,Electronics,2025-11-27,11593,10,300,10,Summer,74
Wireless Mouse,Accessories,2025-09-09,1206,20,149,3,Winter,168
Wireless Mouse,Accessories,2025-03-30,1455,20,141,2,Monsoon,176
Smartphone,Electronics,2025-10-13,18214,20,382,1,Summer,130
Laptop,Electronics,2026-04-07,47949,15,225,4,Monsoon,99
Monitor,Electronics,2025-09-07,16261,20,455,5,Winter,123
Wireless Mouse,Accessories,2026-04-21,807,0,246,10,Winter,155
Headphones,Accessories,2026-08-07,3911,0,392,10,Monsoon,110
External Hard Drive,Storage,2026-01-24,3764,10,187,6,Summer,127
Headphones,Accessories,2025-12-11,4010,0,52,3,Winter,119
Headphones,Accessories,2025-01-30,1360,5,368,6,Summer,157
Wireless Mouse,Accessories,2026-05-22,526,5,102,10,Monsoon,146
Headphones,Accessories,2025-11-29,3069,10,154,5,Summer,127
Wireless Mouse,Accessories,2025-07-06,1118,20,135,4,Monsoon,159
Keyboard,Accessories,2026-05-15,2678,15,433,4,Summer,127
Gaming Keyboard,Gaming,2025-08-06,7477,15,343,10,Monsoon,110
Monitor,Electronics,2025-12-30,19120,15,300,2,Summer,98
Printer,Electronics,2025-09-22,17074,5,453,6,Monsoon,57
Wireless Mouse,Accessories,2025-12-15,634,15,210,7,Winter,168
Smartphone,Electronics,2025-10-14,27608,0,175,5,Monsoon,83
Wireless Mouse,Accessories,2026-09-03,1018,15,89,6,Winter,157
Printer,Electronics,2025-10-10,7923,20,478,5,Monsoon,132
Headphones,Accessories,2026-07-24,1313,15,143,1,Summer,164
Smartphone,Electronics,2025-01-11,12070,15,208,9,Monsoon,102
Smartphone,Electronics,2026-06-14,43160,10,258,1,Monsoon,89
Printer,Electronics,2025-07-15,13650,20,422,5,Winter,94
External Hard Drive,Storage,2025-03-29,9019,5,189,10,Summer,97
Printer,Electronics,2025-09-05,16543,15,251,9,Monsoon,67
Monitor,Electronics,2026-02-21,13211,10,388,9,Winter,101
External Hard Drive,Storage,2026-05-16,8636,0,418,5,Summer,75
Smartphone,Electronics,2026-07-23,14959,10,271,4,Summer,124
Gaming Keyboard,Gaming,2025-09-04,2888,20,206,8,Winter,150
Gaming Keyboard,Gaming,2026-05-03,5009,5,353,7,Monsoon,86
Monitor,Electronics,2026-05-18,17501,15,61,2,Summer,89
Laptop,Electronics,2026-04-04,75161,10,150,10,Monsoon,46
Laptop,Electronics,2025-01-18,57633,5,87,3,Winter,65
Printer,Electronics,2025-04-06,15305,5,172,5,Winter,47
Smartphone,Electronics,2025-10-29,42338,10,233,8,Monsoon,73
External Hard Drive,Storage,2025-08-15,9934,5,138,7,Monsoon,83
Wireless Mouse,Accessories,2026-02-19,967,0,369,10,Summer,119
Monitor,Electronics,2025-09-07,17035,20,64,7,Summer,102
Smartphone,Electronics,2025-11-10,26131,0,330,7,Winter,78
Printer,Electronics,2026-08-19,12268,10,409,8,Winter,72
Keyboard,Accessories,2026-01-13,1263,0,56,6,Winter,118
Gaming Keyboard,Gaming,2026-04-30,6425,10,58,2,Summer,96
Monitor,Electronics,2026-07-21,11866,15,429,8,Summer,118
Printer,Electronics,2026-06-28,13749,5,167,9,Summer,38
Gaming Keyboard,Gaming,2025-12-19,2478,10,470,7,Summer,120
Smartphone,Electronics,2026-03-12,43009,15,220,4,Monsoon,110
External Hard Drive,Storage,2026-07-18,6177,20,66,9,Winter,134
External Hard Drive,Storage,2025-12-05,6633,10,243,1,Winter,97
Smartphone,Electronics,2025-12-27,40792,10,469,7,Winter,80
Headphones,Accessories,2026-04-10,1195,0,304,4,Winter,149
Headphones,Accessories,2025-10-05,3235,20,62,10,Monsoon,141
Gaming Keyboard,Gaming,2025-11-10,2550,0,187,1,Winter,97
Gaming Keyboard,Gaming,2025-09-15,4444,5,269,3,Monsoon,120
Printer,Electronics,2025-08-25,8234,15,399,5,Monsoon,97
Wireless Mouse,Accessories,2025-05-04,512,0,454,4,Summer,137
Monitor,Electronics,2025-07-17,21764,5,127,6,Monsoon,66
Smartphone,Electronics,2025-11-20,28075,10,166,8,Monsoon,89
Wireless Mouse,Accessories,2025-05-03,1389,20,202,4,Summer,170
Keyboard,Accessories,2026-07-03,2284,20,191,9,Monsoon,146
Wireless Mouse,Accessories,2025-07-09,863,15,47,9,Monsoon,167
Monitor,Electronics,2025-07-16,20634,10,443,2,Winter,98
Gaming Keyboard,Gaming,2025-08-10,2070,5,356,8,Summer,99
Printer,Electronics,2026-05-11,15856,15,250,4,Winter,80
Wireless Mouse,Accessories,2025-10-11,1076,20,272,7,Monsoon,167
External Hard Drive,Storage,2026-08-27,5684,10,203,8,Winter,141
External Hard Drive,Storage,2026-06-22,4220,5,76,1,Summer,95
External Hard Drive,Storage,2026-09-04,3332,10,240,2,Summer,91
Headphones,Accessories,2025-10-17,2771,10,125,10,Winter,154
Keyboard,Accessories,2025-04-13,2026,0,155,4,Winter,107
Wireless Mouse,Accessories,2025-07-18,1415,20,398,8,Summer,151
Monitor,Electronics,2025-10-31,8673,5,155,9,Summer,87
Printer,Electronics,2025-08-21,9728,10,200,9,Summer,104
Gaming Keyboard,Gaming,2026-01-05,7442,15,232,5,Monsoon,109
Gaming Keyboard,Gaming,2025-07-03,4137,10,314,4,Winter,125
External Hard Drive,Storage,2025-11-06,8521,20,235,1,Monsoon,103
External Hard Drive,Storage,2025-01-15,6548,10,225,4,Winter,98
Laptop,Electronics,2026-07-01,76960,10,193,5,Winter,55
Laptop,Electronics,2025-05-10,52631,5,396,8,Summer,95
External Hard Drive,Storage,2025-10-08,9419,10,121,10,Monsoon,98
Laptop,Electronics,2025-02-16,46476,10,177,4,Summer,97
Monitor,Electronics,2025-02-25,17419,10,42,5,Monsoon,82
Monitor,Electronics,2026-07-21,11156,20,291,7,Summer,111
Laptop,Electronics,2025-10-27,65163,5,34,3,Winter,72
Headphones,Accessories,2025-05-10,4720,15,200,9,Monsoon,117
External Hard Drive,Storage,2026-05-18,4927,10,46,3,Summer,113
Monitor,Electronics,2025-04-16,24295,5,81,6,Winter,83
Keyboard,Accessories,2025-01-13,2102,15,169,3,Summer,113
Gaming Keyboard,Gaming,2026-08-11,4791,20,480,9,Monsoon,130
Headphones,Accessories,2025-10-19,2219,0,197,10,Summer,134
Monitor,Electronics,2026-04-26,24557,20,357,5,Winter,116
Keyboard,Accessories,2026-05-06,1576,20,493,5,Winter,153
Keyboard,Accessories,2026-03-28,2260,15,399,1,Monsoon,129
Headphones,Accessories,2025-12-15,1814,15,295,3,Winter,150
Monitor,Electronics,2025-07-08,20376,0,228,7,Monsoon,51
External Hard Drive,Storage,2025-02-22,4478,20,105,10,Monsoon,139
Wireless Mouse,Accessories,2025-09-16,1487,15,111,1,Monsoon,156
Keyboard,Accessories,2026-05-05,1570,20,215,2,Summer,147
External Hard Drive,Storage,2025-04-27,4682,5,206,7,Monsoon,81
Smartphone,Electronics,2025-03-08,27488,10,297,7,Monsoon,94
External Hard Drive,Storage,2026-02-15,6315,20,184,8,Winter,128
Monitor,Electronics,2026-05-19,15174,20,392,4,Summer,103
Keyboard,Accessories,2025-03-17,2419,5,498,1,Summer,124
Keyboard,Accessories,2026-08-14,1934,10,409,9,Monsoon,119
Headphones,Accessories,2025-02-24,1469,10,275,6,Monsoon,142
External Hard Drive,Storage,2025-06-05,3838,10,163,2,Monsoon,94
External Hard Drive,Storage,2025-06-02,9810,10,165,5,Winter,102
Wireless Mouse,Accessories,2026-07-31,971,10,151,1,Summer,141
Headphones,Accessories,2025-11-08,3140,10,139,10,Monsoon,103
Laptop,Electronics,2025-03-29,76416,0,129,9,Winter,41
Laptop,Electronics,2025-09-12,46135,10,395,9,Summer,84
External Hard Drive,Storage,2025-05-02,4104,0,343,2,Monsoon,81
Headphones,Accessories,2026-07-26,4785,10,476,5,Monsoon,124
Laptop,Electronics,2026-03-03,41520,15,128,3,Summer,90
External Hard Drive,Storage,2026-09-13,8909,10,147,2,Winter,117
Monitor,Electronics,2026-09-03,20553,15,471,3,Winter,99
Keyboard,Accessories,2025-08-20,1804,5,151,6,Monsoon,95
Keyboard,Accessories,2026-06-20,1854,15,396,6,Monsoon,126
External Hard Drive,Storage,2026-01-25,5998,0,178,3,Winter,86
Smartphone,Electronics,2026-04-07,39255,5,471,6,Winter,74
Monitor,Electronics,2026-03-30,22961,10,143,10,Summer,76
Keyboard,Accessories,2025-11-01,2219,20,386,2,Winter,130
Headphones,Accessories,2026-08-26,1493,15,438,10,Summer,144
Keyboard,Accessories,2026-03-16,2583,20,349,3,Monsoon,143
Wireless Mouse,Accessories,2025-11-09,472,5,209,8,Monsoon,148
Laptop,Electronics,2026-08-06,43179,0,151,3,Winter,73
